address,area,price
裕兴花园-SM附近,湖里,2300
厦禾裕景-厦禾路,思明,55000
裕兴花园-SM附近,湖里,2000
明发商城-金鸡亭,思明,3000
明发商城-莲前西路,思明,3000
山木清华-莲前,思明,6000
岭兜小区北区-前埔南区,思明,3600
岭兜一里-软件园,思明,3800
海峡国际社区-观音山,思明,8000
海峡国际社区-观音山,思明,4500
明发城-软件园,思明,2200
明发海景苑-会展路,思明,8500
水晶国际-观音山,思明,3000
岭兜佳园-软件园,思明,1700
海艺大厦-前埔北区,思明,2200
明发国际新城-会展路,思明,5500
香山碧海晴空-软件园,思明,2500
明发国际新城-会展路,思明,5500
明发园-软件园,思明,1800
世茂湖滨首府-软件园,思明,3000
海艺大厦-软件园,思明,2100
何厝小区-会展路,思明,4000
卧龙晓城-莲前西路,思明,4400
家家海景-前埔北区,思明,4000
海艺大厦-软件园,思明,2000
新景花园-软件园,思明,2500
岭兜二里-前埔北区,思明,3300
宝华花园思明-湖滨北路,思明,4000
宝达大厦-嘉禾路,思明,3600
宏益大厦-松柏,思明,5500
宝龙中心一期-嘉禾路,思明,6500
嘉滨里-松柏,思明,2300
卧龙晓城-莲前西路,思明,4000
金鸡亭花园小区-金鸡亭,思明,3300
明丰财富中心-前埔南区,思明,3400
岭兜二里-软件园,思明,3700
岭兜佳园小区-前埔南区,思明,3500
香山海景苑-前埔南区,思明,2300
龙山山庄-莲前西路,思明,3500
富宇大厦-火车站,思明,5800
屿后南里423-449号小区-松柏,思明,3400
信和上筑-嘉禾路,思明,4700
锦绣广场-松柏,思明,5999
岭兜二里-软件园,思明,3300
碧海晴空-软件园,思明,2000
新景花园-软件园,思明,4500
龙山山庄-莲前西路,思明,3800
明发园-前埔北区,思明,2200
自然家园二期-火车站,思明,5600
何厝小区-会展路,思明,4000
山木清华-莲前,思明,5500
龙山山庄-莲前西路,思明,3500
岭兜小区北区-前埔南区,思明,3200
清河花园-莲前,思明,3000
云顶山庄花园-莲前,思明,5000
金磊花园-金鸡亭,思明,4000
侨福城一期-莲前东路,思明,3500
侨福城3期-莲前,思明,1700
侨福城小区-莲前东路,思明,3500
侨福城小区-莲前东路,思明,3500
侨福城三期-瑞景,思明,4300
莲坂西小区-富山,思明,2800
莲坂西小区-富山,思明,3400
嘉华大厦-长青路,思明,2300
华天花园-嘉禾路,思明,2500
江头长青K小区-松柏,思明,3000
江头长青K小区-松柏,思明,3000
卧龙晓城-莲前西路,思明,4500
山木清华-莲前,思明,6000
山木清华-莲前,思明,6000
山木清华-莲前,思明,6000
龙昌里居住区-莲花五村,思明,3300
湖滨四里-湖滨南路,思明,3500
厦汽宿舍-富山,思明,3600
信和上筑-嘉禾路,思明,6200
嘉华大厦-长青路,思明,5000
莲前西路水务宿舍-富山,思明,2900
舒心阳光公寓-软件园,思明,1500
舒心阳光公寓-前埔南区,思明,1950
舒心阳光公寓-观音山,思明,1500
舒心阳光公寓-莲前东路,思明,1650
舒心阳光公寓-前埔北区,思明,1600
舒心阳光公寓-会展路,思明,1550
中山路民宅-思明南路,思明,1300
中山路-中山路,思明,1500
前埔北区农贸市场-莲前西路,思明,2600
世贸湖滨首府b区-软件园,思明,7000
故宫路-大同路,思明,1700
